id,pkg,title,icon,meta,description,tags,categories,commands
extremetuxracer-lan,extremetuxracer,Extreme Tux Racer,ETR,Native Racing - Snow,3D racing game featuring Tux sliding down snowy courses,"Racing,Family,3D","racing,arcade,family,casual,age-5-plus",etr|extremetuxracer
flobopuyo-lan,flobopuyo,FloboPuyo,PUYO,Native Puzzle - Puyo-like,Puyo Puyo clone with chain-combo puzzle play,"Puzzle,Arcade,Family","puzzle,arcade,multiplayer,family,age-5-plus",flobopuyo
foobillardplus-lan,foobillardplus,FooBillard++,POOL,Native Sports - Billiards,3D OpenGL billiards game,"Sports,Arcade,3D","arcade,simulation,family,casual,age-10-plus",foobillardplus
gamine-lan,gamine,Gamine,KIDS,Native Kids - Mouse Play,Interactive game for very young children,"Kids,Family,Casual","educational,arcade,family,casual,age-5-plus",gamine
garden-coloured-lights-lan,garden-of-coloured-lights,Garden of Coloured Lights,LIGHTS,Native Shooter - Music,Abstract vertical shooter with music elements,"Arcade,Shooter,Music","arcade,action,age-10-plus",garden
gav-lan,gav,GPL Arcade Volleyball,VOLLEY,Native Sports - Volleyball,Arcade volleyball game for quick local matches,"Sports,Arcade,Family","arcade,multiplayer,family,casual,age-5-plus",gav
geki2-lan,geki2,Geki 2,GEKI2,Native Shooter - Vertical,Xenon-like vertical shoot em up,"Arcade,Shooter,Retro","arcade,action,retro,age-10-plus",geki2
geki3-lan,geki3,Geki 3,GEKI3,Native Shooter - Horizontal,R-Type-like horizontal shoot em up,"Arcade,Shooter,Retro","arcade,action,retro,age-10-plus",geki3
gnujump-lan,gnujump,GNUjump,JUMP,Native Arcade - Vertical Platformer,Jump upward from platform to platform and survive as long as possible,"Arcade,Platformer,Family","arcade,platformer,family,casual,age-5-plus",gnujump
heroes-lan,heroes,Heroes,TRAIL,Native Arcade - Light-cycle,Collect powerups and avoid opponents trails in a Tron-like arcade game,"Arcade,Retro,Multiplayer","arcade,action,multiplayer,retro,age-10-plus",heroes
holotz-castle-lan,holotz-castle,Holotz Castle,CASTLE,Native Platformer - Mystery,Platform game with puzzles and a mysterious castle theme,"Platformer,Puzzle,Retro","arcade,platformer,puzzle,age-10-plus",holotz-castle|holotz
kraptor-lan,kraptor,Kraptor,KRAP,Native Shooter - Scroller,Classic shoot em up scroller game,"Arcade,Shooter,Action","arcade,action,age-10-plus",kraptor
krank-lan,krank,Krank,KRANK,Native Dexterity Puzzle,Dexterity game where you match stones together,"Puzzle,Dexterity,Casual","puzzle,arcade,casual,family,age-10-plus",krank
lierolibre-lan,lierolibre,LieroLibre,WORM,Native Action - Worm Arena,Old-school earthworm action game,"Action,Arcade,Local Multiplayer","arcade,action,multiplayer,age-10-plus",lierolibre
marsshooter-lan,marsshooter,M.A.R.S. Shooter,MARS,Native Space Shooter - Gravity,Ridiculous space shooter governed by gravity,"Space,Shooter,Arcade","space,arcade,action,multiplayer,age-10-plus",marsshooter|mars
meritous-lan,meritous,Meritous,MERIT,Native Action Adventure,Action-adventure dungeon crawl with abstract rooms and charging attacks,"RPG,Action,Dungeon","rpg,adventure,action,roguelite,age-10-plus",meritous
moon-lander-lan,moon-lander,Moon Lander,MOON,Native Arcade - Lunar Lander,Classic lunar lander style physics game,"Arcade,Physics,Family","arcade,simulation,family,casual,age-10-plus",moon-lander|moonlander
morris-lan,morris,Nine Men's Morris,MORRIS,Native Board Game - Strategy,Nine men's morris board game,"Board Game,Strategy,Family","board-game,strategy,family,casual,age-10-plus",morris
mrrescue-lan,mrrescue,Mr Rescue,RESCUE,Native Arcade - Fire Rescue,Arcade 2D action game about rescuing people from burning buildings,"Arcade,Action,Family","arcade,action,family,age-10-plus",mrrescue
nikwi-lan,nikwi,Nikwi Deluxe,NIKWI,Native Platformer - Candy,Platform game where the goal is to collect candies,"Platformer,Family,Retro","arcade,platformer,family,casual,age-5-plus",nikwi
numptyphysics-lan,numptyphysics,Numpty Physics,CRAYON,Native Puzzle - Drawing Physics,Crayon-based physics puzzle game,"Puzzle,Physics,Family","puzzle,science,family,casual,age-5-plus",numptyphysics
open-invaders-lan,open-invaders,Open Invaders,INV,Native Arcade - Space Invaders,Space Invaders clone,"Arcade,Shooter,Retro","arcade,action,retro,family,age-10-plus",open-invaders
pathological-lan,pathological,Pathological,PATH,Native Puzzle - Paths,Puzzle game involving paths and marbles,"Puzzle,Logic,Family","puzzle,strategy,family,age-10-plus",pathological
pink-pony-lan,pink-pony,Pink Pony,PONY,Native Racing - 3D Arena,3D racing game with ponies,"Racing,Family,3D","racing,arcade,family,casual,age-5-plus",pink-pony
powermanga-lan,powermanga,Powermanga,PMANGA,Native Shooter - Vertical,Vertical shoot em up with colorful graphics,"Arcade,Shooter,Retro","arcade,action,retro,age-10-plus",powermanga
solarwolf-lan,solarwolf,SolarWolf,SWOLF,Native Arcade - Box Collector,Collect boxes while avoiding enemies and shots,"Arcade,Puzzle,Family","arcade,puzzle,family,age-10-plus",solarwolf
supertransball2-lan,supertransball2,Super Transball 2,TRANS,Native Arcade - Thrust-like,Thrust-style game about transporting a ball through hostile terrain,"Arcade,Physics,Action","arcade,action,simulation,age-10-plus",supertransball2
tecnoballz-lan,tecnoballz,TecnoballZ,TBALL,Native Arcade - Brick Breaker,Amiga-style brick-breaking arcade game,"Arcade,Puzzle,Retro","arcade,puzzle,retro,family,age-10-plus",tecnoballz
tuxfootball-lan,tuxfootball,Tux Football,FOOTY,Native Sports - 2D Soccer,2D soccer game for quick local matches,"Sports,Arcade,Family","arcade,multiplayer,family,casual,age-5-plus",tuxfootball
tuxpuck-lan,tuxpuck,TuxPuck,PUCK,Native Sports - Air Hockey,Single-player air hockey game,"Sports,Arcade,Family","arcade,family,casual,age-5-plus",tuxpuck
