"rank","id","title","source_url","source_site","platform","genre","mode","license_status","redistribution_status","download_status","intake_status","offline_strategy","install_size_mb","server_needs","client_needs","qa_plan","notes"
"28","opentyrian-lan","OpenTyrian / Tyrian 2.1 data","https://github.com/opentyrian/opentyrian","GitHub / freeware data source","native Linux/Windows","vertical shooter","solo/local-coop/network","GPL-engine-freeware-data-rights-unclear","legal-review-before-public-cache","not-started","legal-review","Cache engine/source only until Tyrian data redistribution is cleared; if approved, cache official tyrian21.zip with checksum and license notes.","50","","Native desktop client; SDL; keyboard/gamepad","Build or package engine, add local data, start arcade/story mode offline, capture screenshot/log; test two-player local if practical.","Fun and tiny, but multiple sources note data is freeware while redistribution rights are murkier than Debian-main packages."
"29","theme-hospital-corsixth-review","Theme Hospital via CorsixTH","https://www.myabandonware.com/game/theme-hospital-2ek","My Abandonware discovery source","DOS/Windows data plus native engine","management sim","solo","commercial-data-unclear-engine-open-source","private-only-or-legal-review","purchase-only","blocked","Use MyAbandonware only as discovery/metadata; do not cache public game files. If Dylan supplies owned data, keep private-only and evaluate CorsixTH locally.","250","None unless future multiplayer is explored","CorsixTH engine plus private game data","Only after private/legal data exists: launch offline, start first hospital, build a room, capture screenshot/log; no public redistribution claim.","High-value management game, but rights are not clear for public mirroring. 2026-06-19 MyAbandonware source check: full-game download removed / buy path only; manual extra exists, so this lane is blocked unless Dylan supplies owned data for CorsixTH."
"30","simtower-review","SimTower: The Vertical Empire","https://www.myabandonware.com/game/simtower-the-vertical-empire-3f2","My Abandonware discovery source","Windows/Mac classic","management sim","solo","commercial-data-unclear","private-only-or-legal-review","download-cached","download-cached","Private raw files cached on NFS under /srv/lan-arcade/native-downloads/intake/private-tycoon/simtower-review; do not expose in public catalog. Needs old Windows runtime path before smoke.","12","","Windows 3.x/Win95 emulation or Wine/Win16 path; neither Wine nor DOSBox installed on VM during preflight.","Build first lobby/elevator/floor while outbound network is blocked; capture screenshot/log.","Great family management fit, but commercial status keeps it out of public cache. 2026-06-19 private agent-side cache complete with manifest/checksums/launch recipe; not gameplay-smoked."
"31","incredible-machine-review","The Incredible Machine","https://www.myabandonware.com/game/the-incredible-machine-1mg","My Abandonware discovery source","DOS","physics puzzle","solo","commercial-data-unclear","private-only-or-legal-review","not-started","legal-review","Use as discovery only; do not cache binaries publicly. Consider shareware/demo route if a rights-clear distributor is found.","20","","DOSBox/EmulatorJS or private DOSBox shelf","After legal/private files exist, run offline in DOSBox/EmulatorJS, solve or interact with first puzzle, capture screenshot/log.","Excellent puzzle candidate; needs rights-clear demo/shareware or private file path."
"32","simcity-2000-review","SimCity 2000 CD Collection","https://www.myabandonware.com/game/simcity-2000-cd-collection-311","My Abandonware discovery source","DOS/Mac/Win classic","city builder","solo","commercial-data-unclear","private-only-or-legal-review","waiting-private-files","blocked","Private VM shelf prepared at /srv/lan-arcade/native-downloads/intake/private-tycoon/simcity-2000-review with manifest/checksum placeholders and DOSBox launch recipe. My Abandonware no longer hosts a download; wait for Dylan-owned/GOG/private files before extraction or smoke.","100","","DOSBox runtime plus Dylan-owned/GOG/private SimCity 2000 files; dosbox not installed on VM at preflight time","After private files are placed in raw/, rewrite manifest/checksums, prepare work/dosroot, run DOSBox inside bwrap --unshare-net, start a city, place roads/zones/power, and capture screenshots/logs.","Attractive city-builder target, but open options already reduce urgency. 2026-06-19: private shelf/manifest/launch recipe created; blocked-network preflight reached network namespace but stopped on missing private raw files. Report: qa/reports/private-tycoon/simcity-2000-review-20260619T081423Z/REPORT.md. 2026-06-19 source check: My Abandonware page says no longer abandonware and points to GOG; no download cached from that page. Waiting for Dylan-owned/GOG/private files in the raw shelf."
"32.5","simcity-3000-unlimited-private","SimCity 3000 Unlimited","https://www.myabandonware.com/game/simcity-3000-unlimited-cyg","My Abandonware discovery source / GOG purchase path","Windows/Linux classic","city builder","solo","commercial-data-unclear","private-only-or-legal-review","waiting-private-files","blocked","Private VM shelf prepared at /srv/lan-arcade/native-downloads/intake/private-tycoon/simcity-3000-unlimited-private. My Abandonware says no longer abandonware and points to GOG; wait for Dylan-owned/GOG/private installer before extraction or smoke.","700","","Dylan-owned Linux Loki/SuSE installer if available, otherwise GOG/Windows installer under Wine; wine not installed on VM at preflight time","After private files are placed in raw/, rewrite manifest/checksums, try Linux release first if supplied or Wine for GOG/Windows installer, run inside bwrap --unshare-net, start a city, place roads/zones/power, and capture screenshots/logs.","2026-06-19: private shelf/manifest/launch recipe created; source page checked and says no longer abandonware/GOG purchase path; blocked-network preflight reached network namespace but stopped on missing private raw files. Report: qa/reports/private-tycoon/simcity-3000-unlimited-private-20260619T082138Z/REPORT.md."
"33","simutrans-lan","Simutrans","https://simutrans.net/index.html.en","Official project page / Debian bookworm main","native Linux","transport tycoon / logistics sim","solo/LAN","Artistic-License/open-source-with-pakset-data-in-debian-main","cache-safe-via-debian-main","download-cached","partial","Cache Debian bookworm simutrans, simutrans-data, and simutrans-pak64 first; optional larger paksets can wait until base gameplay passes.","80","Optional private LAN server/session; verify before documenting","Native desktop client; SDL; mouse/keyboard","Install/cache packages, launch offline, create a new map, build a first road/rail line or vehicle route, capture screenshot/log with outbound network blocked.","Best new tycoon-style public-cache candidate; already packageable and not a duplicate of OpenTTD. 2026-06-20 promoted to public package hub; latest smoke partial: Reached Simutrans menu/map with nonblank screenshot."
"34","micropolis-lan","Micropolis","https://packages.debian.org/bookworm/micropolis","Debian bookworm main","native Linux","city builder","solo","GPL-licensed-SimCity-version-in-debian-main","cache-safe-via-debian-main","download-cached","partial","Cache micropolis and micropolis-data Debian packages with apt metadata; hub should explain this is the GPL Micropolis release, not commercial SimCity 2000.","40","","Native desktop client; SDL/X11; mouse/keyboard","Launch offline, start a city, zone residential/commercial/industrial, place roads/power, capture screenshot/log.","Closest legal public-cache answer to classic SimCity. 2026-06-20 promoted to public package hub; latest smoke partial: Reached Micropolis city window with nonblank screenshot."
"35","opencity-lan","OpenCity","https://packages.debian.org/bookworm/opencity","Debian bookworm main","native Linux","3D city builder","solo","GPL/open-source-with-data-in-debian-main","cache-safe-via-debian-main","not-started","license-clear","Cache opencity and opencity-data Debian packages; note old upstream/graphics expectations in hub.","50","","Native desktop client; OpenGL/SDL; mouse/keyboard","Launch offline, start map, place zones/roads/power, capture screenshot/log; verify 3D client works under VM/Xvfb before promotion.","Small legal city-builder candidate, but likely dated and should be tested for stability/fun."
"36","freerct-lan","FreeRCT","https://freerct.net/","Official project page / Flathub / GitHub","native Linux","theme park tycoon","solo","GPL/open-source-per-project-page","cache-safe-after-release-license-check","not-started","license-clear","Cache the 0.1 Flatpak/source release and license files only after confirming offline install/runtime; mark as alpha in the hub.","80","","Native desktop client; OpenGL/SDL; mouse/keyboard","Install/run offline, create or load park, place paths/rides if supported, capture screenshot/log; reject or mark partial if gameplay is too thin.","Only rights-clear RollerCoaster Tycoon-like option found, but it is early alpha."
"37","cytopia-lan","Cytopia","https://cytopia.itch.io/cytopia","Official itch.io / GitHub","native Linux/Windows/macOS","retro city builder","solo","GPL/open-source-per-project-page","cache-safe-after-release-license-check","not-started","license-clear","Cache current itch/GitHub release plus source/license files; disable or document any in-game mod/download features for offline use.","300","","Native desktop client; SDL2/OpenGL; mouse/keyboard","Launch offline, start/create a city, place roads/zones/buildings, capture screenshot/log; verify no first-run internet dependency.","Promising modern open city-builder, but likely still in development and needs real gameplay proof."
"38","openrct2-private-data","OpenRCT2 with owned RollerCoaster Tycoon 2 data","https://docs.openrct2.io/en/latest/installing/getting-rct2.html","Official OpenRCT2 docs","native Linux/Windows/macOS","theme park tycoon","solo/LAN","GPL-engine-commercial-assets-required","private-only-or-legal-review","not-started","legal-review","Cache OpenRCT2 engine/source only publicly. Do not cache RCT2/RCT Classic object files unless Dylan supplies owned data for a private VM-local shelf.","500-900","Optional multiplayer host/join; verify before claiming","Native desktop client; OpenGL/SDL; mouse/keyboard","After private data exists, launch offline, load scenario/sandbox, build a ride/path, capture screenshot/log; later test LAN multiplayer if useful.","Best theme-park target if Dylan owns RCT2/RCT Classic, but not public-cache-safe as a complete game."
"39","openloco-private-data","OpenLoco with owned Chris Sawyer's Locomotion data","https://github.com/OpenLoco/OpenLoco","GitHub / official project","native Linux/Windows/macOS","transport tycoon","solo/LAN-future","MIT-engine-commercial-assets-required","private-only-or-legal-review","not-started","legal-review","Cache OpenLoco engine/source only publicly. Keep Locomotion assets private unless Dylan supplies legally owned files.","500-900","LAN/multiplayer still project-goal; do not claim until tested","Native desktop client; SDL/OpenAL; mouse/keyboard","After private data exists, launch offline, start map/scenario, build first transport route, capture screenshot/log.","Modern Locomotion path; source project is promising but asset requirement keeps it private/legal-review."
"40","caesar3-julius-augustus-private-data","Caesar III via Julius or Augustus","https://github.com/bvschaik/julius","GitHub official engine source","native Linux/Windows/macOS/Android","ancient city builder","solo","GPL-engine-commercial-assets-required","private-only-or-legal-review","not-started","legal-review","Cache Julius/Augustus engine/source only publicly. Do not cache Caesar III data publicly; private shelf only if Dylan supplies owned files.","400-700","","Native desktop client; SDL; mouse/keyboard","After private data exists, launch offline, start tutorial/campaign, place housing/roads/water, capture screenshot/log.","Excellent city-builder if private data exists; Augustus adds modern gameplay enhancements but still needs original files."
"41","transport-tycoon-deluxe-review","Transport Tycoon Deluxe original data","https://www.myabandonware.com/game/transport-tycoon-deluxe-2sd","My Abandonware discovery source","DOS/Windows classic","transport tycoon","solo","commercial-data-unclear-open-alternative-exists","do-not-publicly-cache","not-started","legal-review","Use discovery only. Prefer existing OpenTTD lane with OpenGFX/OpenSFX/OpenMSX for public arcade; private TTD data only if Dylan supplies it.","30","","DOSBox/OpenTTD/private shelf TBD","Only after private/legal data exists: launch offline, start a company, build a first route, capture screenshot/log; otherwise do not promote because OpenTTD already covers the legal route.","Mostly superseded by existing OpenTTD hub for public LAN Arcade purposes."
"42","railroad-tycoon-ii-review","Railroad Tycoon II Gold Edition","https://www.myabandonware.com/game/railroad-tycoon-ii-gold-edition-3p6","My Abandonware discovery source","Windows/Mac classic","railroad tycoon","solo/multiplayer-unclear","commercial-data-unclear","private-only-or-legal-review","purchase-only","blocked","Use discovery only; do not download/cache public binaries. If Dylan supplies owned files, test Wine/private shelf feasibility.","500","","Wine/private shelf TBD","After private/legal files exist, launch offline, start scenario, build first rail line/train, capture screenshot/log.","High appeal, but no open engine/cache-safe path found in this pass. 2026-06-19 MyAbandonware source check: page says no longer abandonware and points to GOG; blocked for this acquisition lane unless Dylan supplies owned/private files."
"43","pharaoh-gold-review","Pharaoh: Gold","https://www.myabandonware.com/game/pharaoh-gold-d5o","My Abandonware discovery source","Windows classic","ancient city builder","solo","commercial-data-unclear","private-only-or-legal-review","purchase-only","blocked","Use discovery only; do not cache public binaries. Look for engine/source-port paths later, but assume private-only for now.","700","","Wine/private shelf TBD","After private/legal files exist, launch offline, start campaign, place houses/roads, capture screenshot/log.","Strong Impressions city-builder candidate, but Caesar III has a better current open-engine path via Julius/Augustus. 2026-06-19 MyAbandonware source check: page points to GOG/Steam; only patch/demo extras are visible, so full-game acquisition is blocked for this lane."
"99","myabandonware-source-review","My Abandonware discovery source","https://www.myabandonware.com/","My Abandonware","mixed","mixed","mixed","source-only","do-not-bulk-mirror","not-started","discovery","Use as discovery and metadata source. Individual commercial games require license/redistribution review before caching.","","","browser/editor only","Create ranked candidate batches; do not mirror binaries unless rights are clear or Dylan supplies private files.","Seed/source row retained; keep commercial downloads out of Git and public cache."
"44","create-city-review","Create City","https://www.myabandonware.com/game/create-city-vhz","My Abandonware private intake","Windows classic","city builder / management sim","solo","commercial-data-unclear","private-only-or-legal-review","source-cache-missing","restore-needed","Private cache expected under /srv/lan-arcade/native-downloads, but the NFS shelf was empty on 2026-06-19. Restore or reacquire source files before packaging/smoke; do not expose raw archives publicly.","5","","Wine 32-bit / old InstallShield path; Wine not installed on VM during preflight.","Install or unpack offline, start a city map, perform first build action, capture screenshot/log.","2026-06-19 private cache complete with manifest/checksums/launch recipe. Archive contains serial-number text; do not copy value into Git/public pages. Page comment warns design/UI may limit playability, so gameplay smoke may reject it even if install works. 2026-06-19 source-cache audit: /srv/lan-arcade/native-downloads is mounted but empty; previous status was download_status=download-cached, intake_status=download-cached. Historical smoke notes remain useful, but live packaging is restore-needed."
"45","mobility-city-in-motion-review","Mobility: A City in Motion","https://www.myabandonware.com/game/mobility-a-city-in-motion-g4m","My Abandonware private intake","Windows classic","city/transport management sim","solo","commercial-data-unclear","private-only-or-legal-review","source-cache-missing","restore-needed","Private cache expected under /srv/lan-arcade/native-downloads, but the NFS shelf was empty on 2026-06-19. Restore or reacquire source files before packaging/smoke; do not expose raw archives publicly.","40","","Wine 32-bit/XP compatibility likely; Wine not installed on VM during preflight.","Install/launch offline, start a city/transport scenario, perform first road/transit action, capture screenshot/log.","2026-06-19 private cache complete with manifest/checksums/launch recipe. Source comments suggest it may start in Dutch and need switching to English in options. 2026-06-19 source-cache audit: /srv/lan-arcade/native-downloads is mounted but empty; previous status was download_status=download-cached, intake_status=download-cached. Historical smoke notes remain useful, but live packaging is restore-needed."
